0.000000	300.000000	303.000000	300.000000	0.990099	0.990099
1.000000	301.000000	303.000000	300.000000	0.993399	0.993399
2.000000	301.000000	303.000000	299.000000	0.993399	0.993399
3.000000	300.000000	302.000000	301.000000	0.993377	0.993377
4.000000	300.000000	301.000000	300.000000	0.996678	0.996678
5.000000	299.000000	301.000000	300.000000	0.993355	0.993355
6.000000	300.000000	300.000000	300.000000	1.000000	1.000000
7.000000	300.000000	302.000000	302.000000	0.993377	0.993377
8.000000	300.000000	305.000000	299.000000	0.983607	0.983607
9.000000	301.000000	303.000000	300.000000	0.993399	0.993399
10.000000	300.000000	304.000000	302.000000	0.986842	0.986842
11.000000	300.000000	301.000000	300.000000	0.996678	0.996678
12.000000	300.000000	301.000000	302.000000	0.996678	0.996678
13.000000	299.000000	302.000000	300.000000	0.990066	0.990066
14.000000	301.000000	300.000000	300.000000	1.003333	1.003333
15.000000	301.000000	300.000000	302.000000	1.003333	1.003333
16.000000	301.000000	303.000000	301.000000	0.993399	0.993399
17.000000	300.000000	303.000000	301.000000	0.990099	0.990099
18.000000	302.000000	303.000000	302.000000	0.996700	0.996700
19.000000	300.000000	302.000000	299.000000	0.993377	0.993377
20.000000	300.000000	301.000000	303.000000	0.996678	0.996678
21.000000	299.000000	303.000000	301.000000	0.986799	0.986799
22.000000	300.000000	300.000000	300.000000	1.000000	1.000000
23.000000	301.000000	300.000000	302.000000	1.003333	1.003333
24.000000	300.000000	302.000000	300.000000	0.993377	0.993377
25.000000	301.000000	301.000000	301.000000	1.000000	1.000000
26.000000	301.000000	303.000000	302.000000	0.993399	0.993399
27.000000	300.000000	304.000000	300.000000	0.986842	0.986842
28.000000	301.000000	304.000000	300.000000	0.990132	0.990132
29.000000	300.000000	304.000000	300.000000	0.986842	0.986842
30.000000	299.000000	305.000000	300.000000	0.980328	0.980328
31.000000	300.000000	307.000000	300.000000	0.977199	0.977199
32.000000	301.000000	303.000000	302.000000	0.993399	0.993399
33.000000	299.000000	301.000000	301.000000	0.993355	0.993355
34.000000	299.000000	304.000000	299.000000	0.983553	0.983553
35.000000	300.000000	301.000000	302.000000	0.996678	0.996678
36.000000	301.000000	303.000000	300.000000	0.993399	0.993399
37.000000	302.000000	306.000000	301.000000	0.986928	0.986928
38.000000	299.000000	300.000000	300.000000	0.996667	0.996667
39.000000	301.000000	301.000000	302.000000	1.000000	1.000000
40.000000	301.000000	302.000000	300.000000	0.996689	0.996689
41.000000	300.000000	302.000000	302.000000	0.993377	0.993377
42.000000	301.000000	301.000000	302.000000	1.000000	1.000000
43.000000	300.000000	302.000000	300.000000	0.993377	0.993377
44.000000	300.000000	304.000000	302.000000	0.986842	0.986842
45.000000	299.000000	301.000000	301.000000	0.993355	0.993355
46.000000	297.000000	304.000000	303.000000	0.976974	0.976974
47.000000	301.000000	303.000000	301.000000	0.993399	0.993399
48.000000	300.000000	301.000000	302.000000	0.996678	0.996678
49.000000	300.000000	305.000000	300.000000	0.983607	0.983607
50.000000	301.000000	304.000000	301.000000	0.990132	0.990132
51.000000	299.000000	303.000000	301.000000	0.986799	0.986799
52.000000	302.000000	303.000000	302.000000	0.996700	0.996700
53.000000	301.000000	303.000000	299.000000	0.993399	0.993399
54.000000	302.000000	304.000000	299.000000	0.993421	0.993421
55.000000	302.000000	307.000000	300.000000	0.983713	0.983713
56.000000	298.000000	302.000000	301.000000	0.986755	0.986755
57.000000	300.000000	304.000000	301.000000	0.986842	0.986842
58.000000	300.000000	303.000000	300.000000	0.990099	0.990099
59.000000	301.000000	304.000000	299.000000	0.990132	0.990132
60.000000	303.000000	306.000000	301.000000	0.990196	0.990196
61.000000	300.000000	303.000000	300.000000	0.990099	0.990099
62.000000	302.000000	306.000000	301.000000	0.986928	0.986928
63.000000	300.000000	302.000000	300.000000	0.993377	0.993377
64.000000	300.000000	306.000000	302.000000	0.980392	0.980392
65.000000	301.000000	300.000000	300.000000	1.003333	1.003333
66.000000	300.000000	300.000000	302.000000	1.000000	1.000000
67.000000	301.000000	304.000000	300.000000	0.990132	0.990132
68.000000	301.000000	302.000000	300.000000	0.996689	0.996689
69.000000	302.000000	303.000000	301.000000	0.996700	0.996700
70.000000	300.000000	303.000000	301.000000	0.990099	0.990099
71.000000	299.000000	304.000000	299.000000	0.983553	0.983553
72.000000	300.000000	305.000000	302.000000	0.983607	0.983607
73.000000	298.000000	303.000000	300.000000	0.983498	0.983498
74.000000	300.000000	300.000000	298.000000	1.000000	1.000000
75.000000	300.000000	305.000000	299.000000	0.983607	0.983607
76.000000	303.000000	302.000000	300.000000	1.003311	1.003311
77.000000	300.000000	305.000000	300.000000	0.983607	0.983607
78.000000	299.000000	303.000000	300.000000	0.986799	0.986799
79.000000	300.000000	306.000000	300.000000	0.980392	0.980392
80.000000	301.000000	302.000000	301.000000	0.996689	0.996689
81.000000	300.000000	301.000000	298.000000	0.996678	0.996678
82.000000	302.000000	306.000000	298.000000	0.986928	0.986928
83.000000	299.000000	307.000000	300.000000	0.973941	0.973941
84.000000	300.000000	303.000000	302.000000	0.990099	0.990099
85.000000	299.000000	303.000000	301.000000	0.986799	0.986799
86.000000	301.000000	304.000000	300.000000	0.990132	0.990132
87.000000	300.000000	306.000000	300.000000	0.980392	0.980392
88.000000	300.000000	304.000000	301.000000	0.986842	0.986842
89.000000	299.000000	305.000000	301.000000	0.980328	0.980328
90.000000	299.000000	304.000000	301.000000	0.983553	0.983553
91.000000	300.000000	306.000000	301.000000	0.980392	0.980392
92.000000	301.000000	304.000000	299.000000	0.990132	0.990132
